fips,county,gini_index,share_same_house_1_year_ago,share_moved_within_same_county,share_moved_diff_county_same_state,share_moved_diff_state,share_moved_from_abroad,share_drive_commute,share_public_transit_commute,share_bike_commute,share_walk_commute,share_other_commute,share_5min_commute,share_5to10_commute,share_10to14_commute,share_15to19_commute,share_20to24_commute,share_25to29_commute,share_30to34_commute,share_35to39_commute,share_40to44_commute,share_45to59_commute,share_60to89_commute,share_90plus_commute,share_married_with_own_children,share_married_with_no_own_children,share_single_man_with_own_children,share_single_man_with_no_own_children,share_single_woman_with_own_children,share_single_woman_with_no_own_children,median_household_income,total_housing_units,share_vacant,share_owner_occupied,share_renter_occupied,average_household_size,share_sfh_detached,share_sfh_attached,share_duplex,share_3to4_units,share_5to9_units,share_10to19_units,share_20to49_units,share_50plus_units,share_mobile_homes,share_boat_rv_van,median_year_structure_built,median_contract_rent,median_gross_rent,median_utilities,rent_burden,median_property_value,median_real_estate_taxes_paid,median_monthly_housing_costs
12019,"Clay County, Florida",0.4115,0.828048903,0.066089756,0.061526464,0.038906219,0.005428658,0.931543053,0.001231844,0.001489412,0.009294825,0.012038478,0.017156518,0.059813435,0.08029813,0.099962499,0.118724511,0.060141565,0.149521868,0.046149159,0.077497305,0.157385272,0.101040641,0.032309099,0.307071317,0.457419318,0.033970236,0.026595243,0.090065451,0.084878435,59179,77490,0.089856756,0.749688442,0.250311558,2.82,0.714182475,0.033823719,0.004245709,0.03079107,0.042431281,0.022106078,0.016492451,0.00588463,0.129229578,0.000813008,1992,835,1028,193,28.8,157600,1435,1060
12067,"Lafayette County, Florida",0.5006,0.879256609,0.015468083,0.098811035,0.003924737,0.002539536,0.940163934,0.001639344,0.007786885,0.004508197,0.00942623,0.026371757,0.157805189,0.140365802,0.098681412,0.147596767,0.049766057,0.099532114,0.044661846,0.02807316,0.118672905,0.080391323,0.008081667,0.309246785,0.480097979,0.004898959,0.016533987,0.111451317,0.077770974,36236,3175,0.269291339,0.849043232,0.150956768,3.04,0.544251969,0.007244094,0,0.014173228,0.011023622,0,0.022362205,0.003779528,0.397165354,0,1994,423,675,252,28.5,112400,912,522
12089,"Nassau County, Florida",0.4557,0.844601756,0.07436243,0.037423289,0.038522434,0.005090091,0.921126674,0.001804392,0.010214692,0.01639244,0.016453606,0.024599506,0.085544228,0.124168936,0.093205851,0.11210663,0.071550687,0.147881973,0.062559362,0.041284113,0.14810359,0.067878174,0.021116951,0.234041549,0.542681775,0.052030217,0.023135033,0.076487252,0.071624174,59196,36152,0.191911927,0.768643248,0.231356752,2.62,0.62248285,0.033027218,0.019445674,0.026720513,0.030039832,0.029790883,0.022460721,0.015960389,0.197388803,0.002683116,1995,853,1050,197,31.5,192600,1672,1040
12103,"Pinellas County, Florida",0.4861,0.842482044,0.0964541,0.02313837,0.031627131,0.006298355,0.87471617,0.017639333,0.011478181,0.015602121,0.018398572,0.02244157,0.096516855,0.144095197,0.169382819,0.170149644,0.06889356,0.138043566,0.029071463,0.034859105,0.071651615,0.038399071,0.016495535,0.20070154,0.528136973,0.033267703,0.039622357,0.094734461,0.103536966,47090,504477,0.195626362,0.647047473,0.352952527,2.27,0.481724638,0.048507662,0.028316454,0.044023811,0.05996309,0.07359503,0.071218311,0.098052042,0.093120202,0.001478759,1975,819,967,148,32.3,157500,1510,952
12111,"St. Lucie County, Florida",0.4625,0.84741931,0.075944532,0.043138807,0.026440025,0.007057326,0.906124129,0.005209975,0.005227488,0.009386711,0.022127071,0.018794909,0.069758206,0.127038809,0.166623566,0.170650387,0.060494671,0.157415446,0.020531245,0.036592349,0.087204684,0.053641687,0.031254041,0.222062311,0.525871404,0.024206039,0.037309648,0.102992173,0.087558425,44140,137649,0.209612856,0.69557574,0.30442426,2.67,0.677091733,0.032423047,0.025615878,0.026574839,0.028877798,0.037348619,0.040247296,0.051318934,0.079898873,0.000602983,1991,845,1024,179,37.6,137700,1819,954
12051,"Hendry County, Florida",0.487,0.830199144,0.077359886,0.046088426,0.019782368,0.026570176,0.80079602,0.0826534,0.006434494,0.024411277,0.053200663,0.088309907,0.1851217,0.090709633,0.119574906,0.072197463,0.030099417,0.139458348,0.015426808,0.030579362,0.065135413,0.097017484,0.066369558,0.262663939,0.357839009,0.039345446,0.061725424,0.18601853,0.092407653,37552,14389,0.178747654,0.69188847,0.30811153,3.07,0.499895754,0.029536451,0.030648412,0.013552019,0.011606088,0.009312669,0.002779901,0,0.397247898,0.005420808,1987,544,692,148,26.2,70600,974,602
12061,"Indian River County, Florida",0.5308,0.851992449,0.071134121,0.036642747,0.035039627,0.005191056,0.903326877,0.004652311,0.00330409,0.009171699,0.014507615,0.028129252,0.128886813,0.189207303,0.188801105,0.143631822,0.061945285,0.110282917,0.026727867,0.022787741,0.043686658,0.028169872,0.027743364,0.180254073,0.630737365,0.021761944,0.033747584,0.062772715,0.070726319,47446,77498,0.253800098,0.727546556,0.272453444,2.49,0.626932308,0.041536556,0.021807014,0.029523343,0.051317453,0.091628171,0.036917082,0.02556195,0.074118042,0.000658081,1989,747,881,134,34.1,160900,1421,847
12099,"Palm Beach County, Florida",0.5169,0.844425741,0.094875258,0.023260095,0.026215247,0.01122366,0.882291053,0.019871737,0.00674365,0.014855508,0.013702829,0.020155076,0.08011451,0.129821849,0.167717138,0.165578162,0.076299777,0.166373466,0.027493328,0.03547702,0.067510563,0.044129994,0.019329118,0.241975243,0.489860651,0.034180952,0.041623603,0.099587773,0.092771779,55277,674975,0.202120079,0.666291349,0.333708651,2.56,0.458708841,0.101162265,0.028695878,0.071645617,0.062800844,0.064234972,0.095388718,0.08786844,0.029101819,0.000392607,1986,1062,1206,144,35.5,222700,2624,1184
12109,"St. Johns County, Florida",0.4772,0.828586722,0.071379132,0.054892117,0.038820392,0.006321638,0.885228372,0.002393197,0.010489332,0.010031061,0.016558888,0.021883019,0.076607086,0.12886422,0.134117466,0.143808989,0.063402385,0.163940926,0.045726369,0.059977313,0.105219106,0.037918085,0.018535038,0.324176016,0.510713539,0.021827747,0.024057557,0.064368337,0.054856804,69523,97065,0.162334518,0.759455013,0.240544987,2.65,0.686076341,0.054386236,0.008334621,0.027455829,0.044619585,0.049379282,0.036377685,0.018389739,0.074733426,0.000247257,1996,992,1150,158,31,259900,2626,1239
12086,"Miami-Dade County, Florida",0.5264,0.877033377,0.085431421,0.009906709,0.010106347,0.017522146,0.857562717,0.055380153,0.005956263,0.022357603,0.012524375,0.00919078,0.041747466,0.09319252,0.116889968,0.156858851,0.059555734,0.207424112,0.037692126,0.052675385,0.111639697,0.086984751,0.02614861,0.262897749,0.372449234,0.035174193,0.061650354,0.126334866,0.141493604,44224,1004835,0.150483413,0.556791497,0.443208503,3.07,0.4019028,0.099763643,0.020383446,0.034866421,0.052424527,0.068606289,0.086923724,0.221861301,0.012927496,0.000340354,1976,1000,1143,143,39.2,221100,2467,1200
