Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY048009,"Archer County, TX",48009,29.34465112,20.51048236,25.94350787,30.59546265,23.34145327,18.97548521,26.67656058,28.36287009
RACEDISPARITY008007,"Archuleta County, CO",8007,19.79893459,13.47242404,3.803697674,5.532679427,6.415975351,4.309532192,8.194126148,7.862998714
RACEDISPARITY026011,"Arenac County, MI",26011,36.66666667,37.55485281,39.61899449,35.39288597,26.20034925,23.43483133,14.92964138,16.0056438
RACEDISPARITY005001,"Arkansas County, AR",5001,46.18483326,37.84423607,41.15356279,39.81848292,41.90769861,44.1343334,45.54753185,44.60771293
RACEDISPARITY051013,"Arlington County, VA",51013,40.32690196,40.37357918,38.81369314,36.99404982,36.28323321,34.52125199,34.66089814,35.77165112
RACEDISPARITY048011,"Armstrong County, TX",48011,0,0,0,0,0,0,0,
RACEDISPARITY042005,"Armstrong County, PA",42005,42.84471856,39.05354873,31.15118342,31.79833448,33.2332679,37.87436531,39.36460678,38.42311315
RACEDISPARITY023003,"Aroostook County, ME",23003,32.5675754,29.45047036,29.95629052,33.2190522,27.70588252,28.61717629,29.41371844,25.3119739
RACEDISPARITY031005,"Arthur County, NE",31005,0,0,0,,,,,
RACEDISPARITY022005,"Ascension Parish, LA",22005,44.41479456,43.40424407,39.33396155,35.58182473,33.35675717,36.353793,35.88808908,36.59221267
RACEDISPARITY037009,"Ashe County, NC",37009,36.51107893,29.05624272,35.38545046,32.49480132,28.92253768,36.45935174,35.35503562,34.09716151
RACEDISPARITY039005,"Ashland County, OH",39005,37.0957449,35.75219398,40.81941112,33.6026484,29.20748319,32.54968039,32.84557546,29.13165636
RACEDISPARITY055003,"Ashland County, WI",55003,27.5810304,22.52881368,31.79059078,35.43056717,39.23789007,37.22587905,42.76201866,38.14709012
RACEDISPARITY005003,"Ashley County, AR",5003,16.16784719,19.33800637,17.89606962,13.44533888,18.15552898,17.13341992,20.00864019,18.38665784
RACEDISPARITY039007,"Ashtabula County, OH",39007,40.70161702,42.30713201,41.89870535,42.28512625,45.1432051,45.50964198,45.40644144,41.9430182
RACEDISPARITY053003,"Asotin County, WA",53003,33.55276756,28.81725176,27.86746832,27.23242633,20.07041769,20.31964966,11.35436351,10.85718369
RACEDISPARITY022007,"Assumption Parish, LA",22007,47.05660819,47.06813545,47.69530136,48.21759093,45.57240164,45.23858757,45.69983367,45.39317336
RACEDISPARITY048013,"Atascosa County, TX",48013,23.32252262,24.6339425,25.33848052,24.20605291,23.72601933,23.69444467,24.8891111,22.83922387
RACEDISPARITY020005,"Atchison County, KS",20005,26.54649071,19.57167,10.36759287,22.59079528,26.31416711,29.68620599,28.50342879,26.84034941
RACEDISPARITY029005,"Atchison County, MO",29005,27.81219421,15.79141834,34.08432625,21.76699352,5.36208061,2.194932318,3.519145116,1.666838205
RACEDISPARITY039009,"Athens County, OH",39009,29.50984639,26.61360274,28.6855879,29.88611355,33.75347086,36.76202778,37.59070996,37.26677308
RACEDISPARITY013003,"Atkinson County, GA",13003,22.27905508,5.500940102,6.12631081,12.30018215,9.154366735,10.10555638,18.2375618,16.55289804
RACEDISPARITY034001,"Atlantic County, NJ",34001,46.76188659,47.21599435,46.29962864,44.55177201,46.21987096,45.96037461,47.41738957,49.03905278
RACEDISPARITY040005,"Atoka County, OK",40005,25.84293976,31.10150714,36.39115776,24.69950743,23.67518274,20.6704587,20.15723993,16.13018922
RACEDISPARITY028007,"Attala County, MS",28007,21.20823609,28.67988634,26.96934257,29.47164901,27.90146928,26.62678012,26.42249602,30.29878955
RACEDISPARITY029007,"Audrain County, MO",29007,36.12051342,35.00692873,33.62305386,34.94627764,33.62665139,29.19917831,26.23916336,26.22723331
RACEDISPARITY019009,"Audubon County, IA",19009,34.0007601,27.9848285,28.11358353,27.60067114,21.26888779,11.02046702,19.15067977,14.68404733
RACEDISPARITY039011,"Auglaize County, OH",39011,16.06159881,32.02265318,25.95499079,26.29521,23.6629787,23.59357719,27.20846828,23.45524483
