Year,State_FIPS,County_FIPS,Region,Division,County_name,new_1_units,new_2_units,new_3to4_units,new_5_units,total_new_units
2000,13,107,South,South Atlantic,Emanuel County                ,0,0,0,0,0
2000,13,109,South,South Atlantic,Evans County                  ,12,0,0,0,12
2000,13,111,South,South Atlantic,Fannin County                 ,797,0,0,0,797
2000,13,113,South,South Atlantic,Fayette County                ,938,0,0,0,938
2000,13,115,South,South Atlantic,Floyd County                  ,307,72,3,0,382
2000,13,117,South,South Atlantic,Forsyth County                ,3181,0,0,208,3389
2000,13,119,South,South Atlantic,Franklin County               ,22,0,0,0,22
2000,13,121,South,South Atlantic,Fulton County                 ,3446,56,152,5967,9621
2000,13,123,South,South Atlantic,Gilmer County                 ,478,0,0,56,534
2000,13,125,South,South Atlantic,Glascock County               ,0,0,0,0,0
2000,13,127,South,South Atlantic,Glynn County                  ,532,24,4,53,613
2000,13,129,South,South Atlantic,Gordon County                 ,375,0,11,163,549
2000,13,131,South,South Atlantic,Grady County                  ,64,0,0,0,64
2000,13,133,South,South Atlantic,Greene County                 ,192,2,0,0,194
2000,13,135,South,South Atlantic,Gwinnett County               ,8852,0,100,3420,12372
2000,13,137,South,South Atlantic,Habersham County              ,374,2,0,0,376
2000,13,139,South,South Atlantic,Hall County                   ,1633,4,12,472,2121
2000,13,141,South,South Atlantic,Hancock County                ,37,0,0,0,37
2000,13,143,South,South Atlantic,Haralson County               ,102,4,0,0,106
2000,13,145,South,South Atlantic,Harris County                 ,301,0,0,0,301
2000,13,147,South,South Atlantic,Hart County                   ,7,8,0,0,15
2000,13,149,South,South Atlantic,Heard County                  ,56,0,0,0,56
2000,13,151,South,South Atlantic,Henry County                  ,3401,14,16,699,4130
2000,13,153,South,South Atlantic,Houston County                ,1131,12,0,362,1505
2000,13,155,South,South Atlantic,Irwin County                  ,0,0,0,0,0
2000,13,157,South,South Atlantic,Jackson County                ,766,48,18,32,864
2000,13,159,South,South Atlantic,Jasper County                 ,153,0,0,0,153
2000,13,161,South,South Atlantic,Jeff Davis County             ,1,0,0,0,1
2000,13,163,South,South Atlantic,Jefferson County              ,28,0,0,0,28
2000,13,165,South,South Atlantic,Jenkins County                ,0,0,0,0,0
2000,13,167,South,South Atlantic,Johnson County                ,0,0,0,0,0
2000,13,169,South,South Atlantic,Jones County                  ,220,20,0,0,240
2000,13,171,South,South Atlantic,Lamar County                  ,66,14,0,10,90
2000,13,173,South,South Atlantic,Lanier County                 ,23,0,0,16,39
2000,13,175,South,South Atlantic,Laurens County                ,45,0,0,0,45
2000,13,177,South,South Atlantic,Lee County                    ,279,0,6,0,285
2000,13,179,South,South Atlantic,Liberty County                ,177,0,4,40,221
2000,13,181,South,South Atlantic,Lincoln County                ,43,0,0,0,43
2000,13,185,South,South Atlantic,Lowndes County                ,501,8,4,373,886
2000,13,187,South,South Atlantic,Lumpkin County                ,347,4,3,0,354
2000,13,189,South,South Atlantic,McDuffie County               ,55,0,0,0,55
2000,13,191,South,South Atlantic,McIntosh County               ,91,0,0,0,91
2000,13,193,South,South Atlantic,Macon County                  ,14,0,0,0,14
2000,13,195,South,South Atlantic,Madison County                ,154,0,0,0,154
2000,13,199,South,South Atlantic,Meriwether County             ,158,0,0,0,158
2000,13,201,South,South Atlantic,Miller County                 ,3,0,0,0,3
2000,13,205,South,South Atlantic,Mitchell County               ,79,16,4,0,99
2000,13,207,South,South Atlantic,Monroe County                 ,146,0,0,0,146
2000,13,209,South,South Atlantic,Montgomery County             ,35,2,0,0,37
2000,13,211,South,South Atlantic,Morgan County                 ,168,0,16,5,189
2000,13,213,South,South Atlantic,Murray County                 ,200,4,0,19,223
2000,13,215,South,South Atlantic,Muscogee County               ,556,6,19,394,975
2000,13,217,South,South Atlantic,Newton County                 ,1496,4,10,408,1918
2000,13,219,South,South Atlantic,Oconee County                 ,241,0,0,0,241
2000,13,223,South,South Atlantic,Paulding County               ,2171,0,0,674,2845
2000,13,225,South,South Atlantic,Peach County                  ,115,2,4,10,131
2000,13,227,South,South Atlantic,Pickens County                ,408,2,0,0,410
2000,13,229,South,South Atlantic,Pierce County                 ,66,0,0,0,66
2000,13,231,South,South Atlantic,Pike County                   ,212,0,0,0,212
2000,13,233,South,South Atlantic,Polk County                   ,256,0,0,10,266
2000,13,235,South,South Atlantic,Pulaski County                ,73,0,0,0,73
2000,13,237,South,South Atlantic,Putnam County                 ,184,2,0,0,186
2000,13,239,South,South Atlantic,Quitman County                ,1,0,0,0,1
2000,13,241,South,South Atlantic,Rabun County                  ,285,0,9,5,299
2000,13,243,South,South Atlantic,Randolph County               ,0,0,0,0,0
2000,13,245,South,South Atlantic,Richmond County               ,483,0,0,42,525
2000,13,247,South,South Atlantic,Rockdale County               ,454,0,0,312,766
2000,13,249,South,South Atlantic,Schley County                 ,4,0,0,0,4
2000,13,251,South,South Atlantic,Screven County                ,6,0,0,0,6
2000,13,253,South,South Atlantic,Seminole County               ,0,0,0,0,0
2000,13,255,South,South Atlantic,Spalding County               ,422,0,0,8,430
2000,13,257,South,South Atlantic,Stephens County               ,87,4,0,0,91
2000,13,259,South,South Atlantic,Stewart County                ,0,0,0,0,0
2000,13,261,South,South Atlantic,Sumter County                 ,49,2,0,21,72
2000,13,263,South,South Atlantic,Talbot County                 ,35,0,0,0,35
2000,13,267,South,South Atlantic,Tattnall County               ,4,0,0,0,4
2000,13,269,South,South Atlantic,Taylor County                 ,14,0,0,0,14
